X,Y
350.0,709.0
341.0,705.0
352.0,697.0
352.0,689.0
360.0,683.0
370.0,674.0
379.0,655.0
378.0,647.0
363.0,651.0
276.0,689.0
297.0,675.0
284.0,615.0
280.0,642.0
274.0,633.0
246.0,654.0
243.0,660.0
218.0,662.0
225.0,672.0
208.0,687.0
227.0,693.0
236.0,688.0
255.0,732.0
232.0,734.0
198.0,728.0
123.0,698.0
126.0,678.0
143.0,683.0
139.0,667.0
158.0,583.0
158.0,581.0
148.0,555.0
116.0,514.0
89.0,521.0
76.0,498.0
43.0,529.0
47.0,534.0
71.0,565.0
86.0,557.0
104.0,541.0
109.0,566.0
108.0,571.0
121.0,592.0
127.0,599.0
105.0,611.0
78.0,627.0
60.0,639.0
57.0,658.0
88.0,663.0
105.0,673.0
102.0,686.0
87.0,697.0
55.0,693.0
7.0,684.0
28.0,626.0
11.0,621.0
41.0,596.0
46.0,595.0
40.0,574.0
8.0,543.0
28.0,502.0
40.0,496.0
46.0,493.0
27.0,467.0
33.0,463.0
46.0,456.0
52.0,449.0
57.0,444.0
31.0,399.0
48.0,374.0
55.0,373.0
55.0,365.0
90.0,384.0
99.0,363.0
97.0,356.0
138.0,346.0
158.0,349.0
168.0,377.0
193.0,362.0
205.0,380.0
209.0,381.0
246.0,359.0
227.0,340.0
216.0,300.0
240.0,295.0
242.0,280.0
290.0,290.0
285.0,270.0
309.0,271.0
323.0,286.0
335.0,270.0
328.0,240.0
312.0,234.0
296.0,220.0
295.0,207.0
295.0,196.0
293.0,193.0
281.0,144.0
272.0,169.0
257.0,160.0
253.0,196.0
229.0,205.0
222.0,201.0
215.0,200.0
224.0,229.0
217.0,229.0
216.0,245.0
204.0,254.0
186.0,264.0
127.0,276.0
143.0,291.0
137.0,309.0
148.0,307.0
160.0,300.0
180.0,302.0
188.0,305.0
180.0,326.0
166.0,325.0
155.0,334.0
58.0,282.0
44.0,266.0
46.0,301.0
7.0,340.0
1.0,323.0
17.0,311.0
0.0,274.0
16.0,270.0
20.0,239.0
48.0,221.0
56.0,232.0
55.0,249.0
78.0,242.0
100.0,232.0
83.0,194.0
79.0,205.0
56.0,197.0
6.0,137.0
41.0,154.0
38.0,150.0
41.0,122.0
11.0,77.0
12.0,70.0
47.0,0.0
76.0,6.0
70.0,14.0
59.0,55.0
61.0,75.0
67.0,82.0
81.0,99.0
107.0,110.0
98.0,118.0
80.0,140.0
81.0,148.0
101.0,146.0
96.0,167.0
103.0,173.0
106.0,173.0
124.0,187.0
118.0,205.0
114.0,216.0
121.0,234.0
156.0,236.0
179.0,239.0
191.0,219.0
200.0,221.0
213.0,207.0
205.0,185.0
216.0,177.0
176.0,181.0
177.0,199.0
159.0,186.0
151.0,129.0
158.0,77.0
116.0,82.0
176.0,9.0
191.0,13.0
193.0,23.0
188.0,68.0
220.0,38.0
234.0,23.0
246.0,43.0
282.0,26.0
279.0,6.0
327.0,10.0
331.0,11.0
383.0,12.0
389.0,10.0
396.0,25.0
410.0,30.0
440.0,0.0
484.0,18.0
476.0,45.0
466.0,68.0
449.0,54.0
421.0,58.0
403.0,63.0
375.0,48.0
349.0,36.0
345.0,51.0
333.0,65.0
337.0,71.0
300.0,57.0
224.0,68.0
212.0,118.0
235.0,123.0
258.0,122.0
258.0,97.0
286.0,90.0
306.0,80.0
339.0,145.0
350.0,147.0
377.0,133.0
375.0,119.0
387.0,92.0
428.0,98.0
432.0,118.0
437.0,160.0
425.0,173.0
427.0,178.0
442.0,186.0
486.0,158.0
501.0,113.0
481.0,110.0
484.0,104.0
498.0,89.0
494.0,90.0
494.0,51.0
499.0,42.0
504.0,29.0
550.0,46.0
584.0,42.0
613.0,60.0
615.0,57.0
596.0,8.0
650.0,6.0
646.0,15.0
631.0,21.0
639.0,31.0
672.0,49.0
671.0,34.0
674.0,18.0
688.0,12.0
715.0,3.0
725.0,39.0
777.0,8.0
766.0,20.0
755.0,42.0
790.0,49.0
795.0,43.0
827.0,34.0
817.0,50.0
823.0,80.0
823.0,114.0
810.0,124.0
805.0,115.0
797.0,103.0
778.0,89.0
772.0,105.0
756.0,92.0
754.0,102.0
752.0,107.0
749.0,108.0
741.0,95.0
722.0,87.0
725.0,96.0
724.0,108.0
726.0,133.0
739.0,147.0
758.0,156.0
860.0,97.0
885.0,65.0
876.0,45.0
863.0,46.0
880.0,37.0
903.0,29.0
915.0,5.0
934.0,20.0
921.0,69.0
959.0,92.0
955.0,82.0
956.0,81.0
983.0,71.0
986.0,72.0
990.0,105.0
983.0,130.0
923.0,159.0
940.0,172.0
950.0,172.0
964.0,176.0
976.0,178.0
998.0,198.0
987.0,258.0
978.0,240.0
966.0,236.0
924.0,234.0
943.0,244.0
952.0,278.0
913.0,284.0
894.0,273.0
864.0,227.0
855.0,208.0
850.0,181.0
867.0,176.0
862.0,164.0
854.0,142.0
837.0,154.0
800.0,166.0
779.0,174.0
772.0,175.0
779.0,219.0
791.0,213.0
816.0,215.0
804.0,227.0
786.0,248.0
820.0,262.0
787.0,257.0
718.0,227.0
721.0,178.0
715.0,166.0
686.0,139.0
701.0,103.0
674.0,76.0
647.0,59.0
627.0,58.0
632.0,96.0
654.0,108.0
670.0,102.0
690.0,183.0
668.0,182.0
631.0,157.0
628.0,161.0
635.0,190.0
622.0,180.0
600.0,178.0
570.0,157.0
579.0,131.0
573.0,94.0
578.0,90.0
563.0,76.0
556.0,77.0
544.0,86.0
547.0,109.0
544.0,123.0
530.0,128.0
532.0,162.0
544.0,169.0
544.0,172.0
533.0,183.0
540.0,208.0
530.0,203.0
503.0,217.0
486.0,202.0
479.0,203.0
460.0,204.0
460.0,207.0
445.0,228.0
423.0,228.0
373.0,204.0
386.0,221.0
380.0,249.0
375.0,257.0
379.0,273.0
396.0,294.0
386.0,313.0
377.0,356.0
410.0,369.0
419.0,357.0
424.0,364.0
437.0,367.0
454.0,389.0
448.0,387.0
441.0,390.0
445.0,392.0
439.0,417.0
442.0,426.0
427.0,426.0
413.0,414.0
401.0,419.0
382.0,394.0
381.0,401.0
317.0,405.0
328.0,387.0
352.0,378.0
342.0,351.0
338.0,348.0
317.0,345.0
312.0,354.0
285.0,361.0
296.0,380.0
277.0,393.0
264.0,400.0
245.0,406.0
239.0,430.0
220.0,419.0
218.0,422.0
188.0,419.0
185.0,438.0
157.0,451.0
177.0,480.0
194.0,492.0
211.0,468.0
223.0,453.0
247.0,494.0
262.0,479.0
275.0,458.0
278.0,456.0
291.0,466.0
267.0,421.0
281.0,402.0
289.0,411.0
303.0,426.0
319.0,424.0
345.0,412.0
350.0,426.0
350.0,480.0
394.0,467.0
384.0,503.0
380.0,503.0
378.0,514.0
403.0,529.0
422.0,515.0
431.0,505.0
438.0,513.0
438.0,541.0
444.0,567.0
448.0,571.0
460.0,587.0
438.0,605.0
437.0,609.0
391.0,593.0
369.0,588.0
359.0,602.0
336.0,583.0
329.0,580.0
311.0,544.0
311.0,521.0
339.0,514.0
334.0,509.0
320.0,501.0
309.0,503.0
294.0,510.0
282.0,512.0
268.0,526.0
255.0,531.0
225.0,552.0
203.0,542.0
192.0,542.0
185.0,567.0
200.0,615.0
177.0,604.0
168.0,639.0
165.0,644.0
191.0,654.0
208.0,646.0
219.0,643.0
241.0,610.0
262.0,585.0
264.0,584.0
295.0,578.0
310.0,599.0
319.0,594.0
323.0,610.0
333.0,607.0
345.0,609.0
359.0,623.0
379.0,613.0
380.0,634.0
